250536: 131, zeros: 131, ones: 0, pp: 1.000000, history: 00000000000000000000
250554: 287, zeros: 287, ones: 0, pp: 1.000000, history: 00000000000000000000
251137: 145, zeros: 145, ones: 0, pp: 1.000000, history: 00000000000000000000
252131: 193, zeros: 193, ones: 0, pp: 1.000000, history: 00000000000000000000
252511: 149, zeros: 149, ones: 0, pp: 1.000000, history: 00000000000000000000
252531: 104, zeros: 104, ones: 0, pp: 1.000000, history: 00000000000000000000
252552: 140, zeros: 140, ones: 0, pp: 1.000000, history: 00000000000000000000
253137: 299, zeros: 299, ones: 0, pp: 1.000000, history: 00000000000000000000
253511: 382, zeros: 382, ones: 0, pp: 1.000000, history: 00000000000000000000
254010: 3022, zeros: 3022, ones: 0, pp: 1.000000, history: 00000000000000000000
254022: 323, zeros: 323, ones: 0, pp: 1.000000, history: 00000000000000000000
254034: 341, zeros: 341, ones: 0, pp: 1.000000, history: 00000000000000000000
254036: 143, zeros: 143, ones: 0, pp: 1.000000, history: 00000000000000000000
254111: 5961, zeros: 5961, ones: 0, pp: 1.000000, history: 00000000000000000000
254115: 17470, zeros: 17470, ones: 0, pp: 1.000000, history: 00000000000000000000
254131: 4703, zeros: 4703, ones: 0, pp: 1.000000, history: 00000000000000000000
254137: 2441, zeros: 2441, ones: 0, pp: 1.000000, history: 00000000000000000000
254152: 418, zeros: 418, ones: 0, pp: 1.000000, history: 00000000000000000000
254153: 614, zeros: 614, ones: 0, pp: 1.000000, history: 00000000000000000000
254154: 1135, zeros: 1135, ones: 0, pp: 1.000000, history: 00000000000000000000
254155: 436, zeros: 436, ones: 0, pp: 1.000000, history: 00000000000000000000
254171: 192, zeros: 192, ones: 0, pp: 1.000000, history: 00000000000000000000
254511: 378, zeros: 378, ones: 0, pp: 1.000000, history: 00000000000000000000
254512: 285, zeros: 285, ones: 0, pp: 1.000000, history: 00000000000000000000
254513: 1612, zeros: 1612, ones: 0, pp: 1.000000, history: 00000000000000000000
254514: 2525, zeros: 2525, ones: 0, pp: 1.000000, history: 00000000000000000000
254515: 1524, zeros: 1524, ones: 0, pp: 1.000000, history: 00000000000000000000
254516: 852, zeros: 852, ones: 0, pp: 1.000000, history: 00000000000000000000
254517: 1268, zeros: 1268, ones: 0, pp: 1.000000, history: 00000000000000000000
